source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/steve-jobs,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/steve-jobs,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/lookdev-auto,Supported after conversion,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/lookdev-auto,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/bug-hunter,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/bug-hunter,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/mathguard,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/mathguard,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/langfuse,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/langfuse,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/cc-skill-coding-standards,Approved and supported,development,frontend,task-folder/agents/skills/development/frontend/cc-skill-coding-standards,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/track-management,Approved and supported,development,software-architecture,task-folder/agents/skills/development/software-architecture/track-management,child_skill,high,"Primary outcome is software architecture design, domain modeling, and systematic refactoring.",None,none
task-folder/agents/skills/deploy-to-vercel,Supported after conversion,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/deploy-to-vercel,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/customer-support,Ambiguous and requiring manual review,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/customer-support,child_skill,high,"Primary outcome is strategic market positioning, operational planning, and business analysis.",None,none
task-folder/agents/skills/task-intelligence,Supported after conversion,development,systems,task-folder/agents/skills/development/systems/task-intelligence,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/dwarf-expert,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/dwarf-expert,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/ask-questions-if-underspecified,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/ask-questions-if-underspecified,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/planning-with-files,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/planning-with-files,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/domain-modeling,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/domain-modeling,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/playwright-skill,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/playwright-skill,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/commit,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/commit,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/indexing-issue-auditor,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/indexing-issue-auditor,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/startup-business-analyst-market-opportunity,Approved and supported,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/startup-business-analyst-market-opportunity,child_skill,high,"Primary outcome is strategic market positioning, operational planning, and business analysis.",None,none
task-folder/agents/skills/linear-claude-skill,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/linear-claude-skill,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/cc-skill-project-guidelines-example,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/cc-skill-project-guidelines-example,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/magic-ui-generator,Ambiguous and requiring manual review,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/magic-ui-generator,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/ads/paid-ads,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/paid-ads,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/ads/ad-creative,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/ad-creative,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/ads/ad-campaign-analyzer,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ad-campaign-analyzer,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/not-human-search-mcp,Approved and supported,development,backend,task-folder/agents/skills/development/backend/not-human-search-mcp,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/read-all-adrs,Approved and supported,development,software-architecture,task-folder/agents/skills/development/software-architecture/read-all-adrs,child_skill,high,"Primary outcome is software architecture design, domain modeling, and systematic refactoring.",None,none
task-folder/agents/skills/using-git-worktrees,Approved and supported,workflow-and-automation,git-and-vcs,task-folder/agents/skills/workflow-and-automation/git-and-vcs/using-git-worktrees,child_skill,high,"Primary outcome is version control coordination, git worktree workflows, and conflict resolution.",None,none
task-folder/agents/skills/cloud-devops,Ambiguous and requiring manual review,infrastructure-and-ops,containers-and-orchestration,task-folder/agents/skills/infrastructure-and-ops/containers-and-orchestration/cloud-devops,child_skill,high,"Primary outcome is containerization, cluster orchestration, and service mesh management.",None,none
task-folder/agents/skills/cheerio-parsing,Approved and supported,development,backend,task-folder/agents/skills/development/backend/cheerio-parsing,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/audio-transcriber,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/audio-transcriber,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/ui/ui-ux-pro-max,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/ui-ux-pro-max,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/ui/ui-score,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-score,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-lint,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-lint,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/ui/ui-page,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-page,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-pattern,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-pattern,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/ui/ui-update,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-update,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-skills-root,Supported after conversion,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/ui-skills-root,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/ui/ui-motion,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-motion,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-review,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-review,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/ui/ui-ux-designer,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-ux-designer,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/ui/ui-component,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-component,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-skills,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/ui-skills,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/ui/ui-setup,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-setup,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/ui/ui-tokens,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/ui-tokens,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/ui/ui-visual-validator,Ambiguous and requiring manual review,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/ui-visual-validator,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/micro-saas-launcher,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/micro-saas-launcher,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/energy-procurement,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/energy-procurement,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/production-code-audit,Ambiguous and requiring manual review,development,software-architecture,task-folder/agents/skills/development/software-architecture/production-code-audit,child_skill,high,"Primary outcome is software architecture design, domain modeling, and systematic refactoring.",None,none
task-folder/agents/skills/cv-generator,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/cv-generator,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/full-stack-orchestration-full-stack-feature,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/full-stack-orchestration-full-stack-feature,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/auto-research,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/auto-research,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/vibecode-production-qa-validator,Supported after conversion,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/vibecode-production-qa-validator,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/trading-ledger,Approved and supported,development,backend,task-folder/agents/skills/development/backend/trading-ledger,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/growth-engine,Supported after conversion,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/growth-engine,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/design/brand-voice,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/brand-voice,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/taste-skill-v1,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/taste-skill-v1,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/design-system-generator,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/design-system-generator,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/marketing-psychology,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/marketing-psychology,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/design/document-skills/xlsx,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/xlsx,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/document-skills/pdf,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/pdf,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/document-skills/pptx,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/pptx,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/document-skills/docx,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/docx,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
