router_type,category,subcategory,proposed_path,responsibility,routing_scope
root_router,root,None,task-folder/agents/skills/SKILL.md,Master router dispatching tasks across all 10 top-level functional categories.,all_10_categories
category_router,business-and-operations,None,task-folder/agents/skills/business-and-operations/SKILL.md,Parent category router delegating user intents to focused business-and-operations subcategories and child skills.,business-and-operations_domain
subcategory_router,business-and-operations,legal-and-governance,task-folder/agents/skills/business-and-operations/legal-and-governance/SKILL.md,Subcategory router directing requests within the legal-and-governance cluster under business-and-operations.,business-and-operations_legal-and-governance_cluster
subcategory_router,business-and-operations,product-management,task-folder/agents/skills/business-and-operations/product-management/SKILL.md,Subcategory router directing requests within the product-management cluster under business-and-operations.,business-and-operations_product-management_cluster
subcategory_router,business-and-operations,startup-finance,task-folder/agents/skills/business-and-operations/startup-finance/SKILL.md,Subcategory router directing requests within the startup-finance cluster under business-and-operations.,business-and-operations_startup-finance_cluster
subcategory_router,business-and-operations,strategy,task-folder/agents/skills/business-and-operations/strategy/SKILL.md,Subcategory router directing requests within the strategy cluster under business-and-operations.,business-and-operations_strategy_cluster
category_router,content-and-documentation,None,task-folder/agents/skills/content-and-documentation/SKILL.md,Parent category router delegating user intents to focused content-and-documentation subcategories and child skills.,content-and-documentation_domain
subcategory_router,content-and-documentation,copywriting,task-folder/agents/skills/content-and-documentation/copywriting/SKILL.md,Subcategory router directing requests within the copywriting cluster under content-and-documentation.,content-and-documentation_copywriting_cluster
subcategory_router,content-and-documentation,presentations,task-folder/agents/skills/content-and-documentation/presentations/SKILL.md,Subcategory router directing requests within the presentations cluster under content-and-documentation.,content-and-documentation_presentations_cluster
subcategory_router,content-and-documentation,research-and-synthesis,task-folder/agents/skills/content-and-documentation/research-and-synthesis/SKILL.md,Subcategory router directing requests within the research-and-synthesis cluster under content-and-documentation.,content-and-documentation_research-and-synthesis_cluster
subcategory_router,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/SKILL.md,Subcategory router directing requests within the technical-writing cluster under content-and-documentation.,content-and-documentation_technical-writing_cluster
category_router,data-and-ai,None,task-folder/agents/skills/data-and-ai/SKILL.md,Parent category router delegating user intents to focused data-and-ai subcategories and child skills.,data-and-ai_domain
subcategory_router,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/SKILL.md,Subcategory router directing requests within the analytics cluster under data-and-ai.,data-and-ai_analytics_cluster
subcategory_router,data-and-ai,data-engineering,task-folder/agents/skills/data-and-ai/data-engineering/SKILL.md,Subcategory router directing requests within the data-engineering cluster under data-and-ai.,data-and-ai_data-engineering_cluster
subcategory_router,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/SKILL.md,Subcategory router directing requests within the llm-and-rag cluster under data-and-ai.,data-and-ai_llm-and-rag_cluster
subcategory_router,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/SKILL.md,Subcategory router directing requests within the machine-learning cluster under data-and-ai.,data-and-ai_machine-learning_cluster
subcategory_router,data-and-ai,vector-databases,task-folder/agents/skills/data-and-ai/vector-databases/SKILL.md,Subcategory router directing requests within the vector-databases cluster under data-and-ai.,data-and-ai_vector-databases_cluster
category_router,design-and-experience,None,task-folder/agents/skills/design-and-experience/SKILL.md,Parent category router delegating user intents to focused design-and-experience subcategories and child skills.,design-and-experience_domain
subcategory_router,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/SKILL.md,Subcategory router directing requests within the design-systems cluster under design-and-experience.,design-and-experience_design-systems_cluster
subcategory_router,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/SKILL.md,Subcategory router directing requests within the motion-and-graphics cluster under design-and-experience.,design-and-experience_motion-and-graphics_cluster
subcategory_router,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/SKILL.md,Subcategory router directing requests within the taste-and-critique cluster under design-and-experience.,design-and-experience_taste-and-critique_cluster
subcategory_router,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/SKILL.md,Subcategory router directing requests within the ui-ux cluster under design-and-experience.,design-and-experience_ui-ux_cluster
category_router,development,None,task-folder/agents/skills/development/SKILL.md,Parent category router delegating user intents to focused development subcategories and child skills.,development_domain
