source_path,folder_name,compatibility_classification,compatibility_decision_basis,quarantine_destination
task-folder/agents/skills/ads/add-app-clip,add-app-clip,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/ads/add-app-clip
task-folder/agents/skills/design/design-it/gradient-design,gradient-design,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/design/design-it/gradient-design
task-folder/agents/skills/design/design-it/widget-based-design,widget-based-design,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/design/design-it/widget-based-design
task-folder/agents/skills/design/design-it/claymorphism,claymorphism,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/design/design-it/claymorphism
task-folder/agents/skills/design/design-it/skeuomorphism,skeuomorphism,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/design/design-it/skeuomorphism
task-folder/agents/skills/design/designer/ce-plan,ce-plan,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Rails,task-folder/agents/not-needed/design/designer/ce-plan
task-folder/agents/skills/super-code/ruby,ruby,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/super-code/ruby
task-folder/agents/skills/monopoly/security-checklist,security-checklist,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: AWS Secrets Manager, Excluded Tech: HashiCorp Vault",task-folder/agents/not-needed/monopoly/security-checklist
task-folder/agents/skills/native-data-fetching,native-data-fetching,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/native-data-fetching
task-folder/agents/skills/openapi-spec-generator,openapi-spec-generator,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Rails,task-folder/agents/not-needed/openapi-spec-generator
task-folder/agents/skills/development/developer/devops-deploy,devops-deploy,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/development/developer/devops-deploy
task-folder/agents/skills/constant-time-analysis,constant-time-analysis,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/constant-time-analysis
task-folder/agents/skills/front end/frontend-architecture,frontend-architecture,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/front end/frontend-architecture
task-folder/agents/skills/front end/frontend-seo,frontend-seo,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/front end/frontend-seo
task-folder/agents/skills/front end/frontend-observability,frontend-observability,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/front end/frontend-observability
task-folder/agents/skills/cloud-penetration-testing,cloud-penetration-testing,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/cloud-penetration-testing
task-folder/agents/skills/use-dom,use-dom,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/use-dom
task-folder/agents/skills/agents/conductor-setup,conductor-setup,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Rails, Excluded Tech: Ruby",task-folder/agents/not-needed/agents/conductor-setup
task-folder/agents/skills/agents/agent-squad/dep,dep,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Secrets Manager,task-folder/agents/not-needed/agents/agent-squad/dep
task-folder/agents/skills/favicon,favicon,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Rails,task-folder/agents/not-needed/favicon
task-folder/agents/skills/varlock,varlock,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Secrets Manager,task-folder/agents/not-needed/varlock
task-folder/agents/skills/tools-page-seo-optimizer,tools-page-seo-optimizer,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Rails,task-folder/agents/not-needed/tools-page-seo-optimizer
task-folder/agents/skills/cyber-audit,cyber-audit,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/cyber-audit
task-folder/agents/skills/backend/backend-architect,backend-architect,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Rails, Excluded Tech: Ruby, Excluded Tech: AWS Secrets Manager",task-folder/agents/not-needed/backend/backend-architect
task-folder/agents/skills/backend/backend-security-coder,backend-security-coder,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Azure Key Vault, Excluded Tech: AWS Secrets Manager, Excluded Tech: HashiCorp Vault",task-folder/agents/not-needed/backend/backend-security-coder
task-folder/agents/skills/observability/observability-engineer,observability-engineer,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/observability/observability-engineer
task-folder/agents/skills/prisma-expert,prisma-expert,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/prisma-expert
task-folder/agents/skills/ruby-pro,ruby-pro,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Rails, Excluded Tech: Ruby",task-folder/agents/not-needed/ruby-pro
task-folder/agents/skills/lambdatest-agent-skills,lambdatest-agent-skills,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/lambdatest-agent-skills
task-folder/agents/skills/cloudflare-workers-expert,cloudflare-workers-expert,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/cloudflare-workers-expert
task-folder/agents/skills/secrets-management,secrets-management,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Azure Key Vault, Excluded Tech: AWS Secrets Manager, Excluded Tech: HashiCorp Vault",task-folder/agents/not-needed/secrets-management
task-folder/agents/skills/hono,hono,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: AWS Lambda,task-folder/agents/not-needed/hono
task-folder/agents/skills/github/actions-advanced,actions-advanced,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/github/actions-advanced
task-folder/agents/skills/ditto,ditto,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ditto session-mining,task-folder/agents/not-needed/ditto
task-folder/agents/skills/building-native-ui,building-native-ui,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/building-native-ui
task-folder/agents/skills/chat-widget,chat-widget,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Rails, Excluded Tech: Ruby",task-folder/agents/not-needed/chat-widget
task-folder/agents/skills/files/file-path-traversal,file-path-traversal,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Windows-specific admin,task-folder/agents/not-needed/files/file-path-traversal
task-folder/agents/skills/api/api-fuzzing-bug-bounty,api-fuzzing-bug-bounty,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Rails, Excluded Tech: Ruby",task-folder/agents/not-needed/api/api-fuzzing-bug-bounty
task-folder/agents/skills/marketing/applovin-ads-integration,applovin-ads-integration,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/marketing/applovin-ads-integration
task-folder/agents/skills/sharp-edges,sharp-edges,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Ruby,task-folder/agents/not-needed/sharp-edges
task-folder/agents/skills/react/react-native-architecture,react-native-architecture,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/react/react-native-architecture
task-folder/agents/skills/react/react-native-skills,react-native-skills,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: Expo,task-folder/agents/not-needed/react/react-native-skills
task-folder/agents/skills/reverse-engineer,reverse-engineer,Unsupported application or platform,Intrinsically dependent on excluded technology: Excluded Tech: GDB workflows,task-folder/agents/not-needed/reverse-engineer
task-folder/agents/skills/gdb-cli,gdb-cli,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: GDB workflows, Excluded Tech: GDB-cli",task-folder/agents/not-needed/gdb-cli
task-folder/agents/skills/eas-update-insights,eas-update-insights,Unsupported application or platform,"Intrinsically dependent on excluded technology: Excluded Tech: Expo, Excluded Tech: EAS Update",task-folder/agents/not-needed/eas-update-insights
