canonical_skill_name,origin_path,origin_type,parent_source,proposed_category,proposed_subcategory,phase08_batch,phase08_rewrite_status,phase08_final_destination,phase08_authoring_workflow,phase08_validation_status
steve-jobs,task-folder/agents/skills/steve-jobs,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
lookdev-auto,task-folder/agents/skills/lookdev-auto,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
bug-hunter,task-folder/agents/skills/bug-hunter,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
mathguard,task-folder/agents/skills/mathguard,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
langfuse,task-folder/agents/skills/langfuse,canonical_retained_source,none,quality-and-security,debugging,unassigned,pending,pending,unprocessed_in_phase08,pending
cc-skill-coding-standards,task-folder/agents/skills/cc-skill-coding-standards,canonical_retained_source,none,development,frontend,unassigned,pending,pending,unprocessed_in_phase08,pending
track-management,task-folder/agents/skills/track-management,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
deploy-to-vercel,task-folder/agents/skills/deploy-to-vercel,canonical_retained_source,none,infrastructure-and-ops,cloud-platforms,unassigned,pending,pending,unprocessed_in_phase08,pending
customer-support,task-folder/agents/skills/customer-support,canonical_retained_source,none,business-and-operations,strategy,unassigned,pending,pending,unprocessed_in_phase08,pending
task-intelligence,task-folder/agents/skills/task-intelligence,canonical_retained_source,none,development,systems,unassigned,pending,pending,unprocessed_in_phase08,pending
dwarf-expert,task-folder/agents/skills/dwarf-expert,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
ask-questions-if-underspecified,task-folder/agents/skills/ask-questions-if-underspecified,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
planning-with-files,task-folder/agents/skills/planning-with-files,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
domain-modeling,task-folder/agents/skills/domain-modeling,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
playwright-skill,task-folder/agents/skills/playwright-skill,canonical_retained_source,none,quality-and-security,testing,unassigned,pending,pending,unprocessed_in_phase08,pending
commit,task-folder/agents/skills/commit,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
indexing-issue-auditor,task-folder/agents/skills/indexing-issue-auditor,canonical_retained_source,none,marketing-and-seo,technical-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
startup-business-analyst-market-opportunity,task-folder/agents/skills/startup-business-analyst-market-opportunity,canonical_retained_source,none,business-and-operations,strategy,unassigned,pending,pending,unprocessed_in_phase08,pending
linear-claude-skill,task-folder/agents/skills/linear-claude-skill,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
cc-skill-project-guidelines-example,task-folder/agents/skills/cc-skill-project-guidelines-example,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
magic-ui-generator,task-folder/agents/skills/magic-ui-generator,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
paid-ads,task-folder/agents/skills/ads/paid-ads,canonical_retained_source,none,marketing-and-seo,on-page-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
ad-creative,task-folder/agents/skills/ads/ad-creative,canonical_retained_source,none,marketing-and-seo,content-and-campaigns,unassigned,pending,pending,unprocessed_in_phase08,pending
ad-campaign-analyzer,task-folder/agents/skills/ads/ad-campaign-analyzer,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
not-human-search-mcp,task-folder/agents/skills/not-human-search-mcp,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
read-all-adrs,task-folder/agents/skills/read-all-adrs,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
using-git-worktrees,task-folder/agents/skills/using-git-worktrees,canonical_retained_source,none,workflow-and-automation,git-and-vcs,unassigned,pending,pending,unprocessed_in_phase08,pending
cloud-devops,task-folder/agents/skills/cloud-devops,canonical_retained_source,none,infrastructure-and-ops,containers-and-orchestration,unassigned,pending,pending,unprocessed_in_phase08,pending
cheerio-parsing,task-folder/agents/skills/cheerio-parsing,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
audio-transcriber,task-folder/agents/skills/audio-transcriber,canonical_retained_source,none,data-and-ai,llm-and-rag,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-ux-pro-max,task-folder/agents/skills/ui/ui-ux-pro-max,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-score,task-folder/agents/skills/ui/ui-score,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-lint,task-folder/agents/skills/ui/ui-lint,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-page,task-folder/agents/skills/ui/ui-page,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-pattern,task-folder/agents/skills/ui/ui-pattern,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-update,task-folder/agents/skills/ui/ui-update,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-skills-root,task-folder/agents/skills/ui/ui-skills-root,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-motion,task-folder/agents/skills/ui/ui-motion,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-review,task-folder/agents/skills/ui/ui-review,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-ux-designer,task-folder/agents/skills/ui/ui-ux-designer,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-component,task-folder/agents/skills/ui/ui-component,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-skills,task-folder/agents/skills/ui/ui-skills,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
