source_path,canonical_name,category,subcategory,lines,bytes,screening_status,candidate_signals,requires_deep_review,review_status,split_decision,rationale,parent_router_path,child_destination_paths,retired_source_path,content_allocation_count,resources_moved
task-folder/agents/skills/steve-jobs,steve-jobs,development,fullstack,602,27237,screened_candidate,lines=602; modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for steve-jobs with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/lookdev-auto,lookdev-auto,design-and-experience,motion-and-graphics,102,5661,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/bug-hunter,bug-hunter,quality-and-security,debugging,384,7916,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/mathguard,mathguard,development,fullstack,269,18539,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/langfuse,langfuse,quality-and-security,debugging,502,12220,screened_candidate,lines=502,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for langfuse with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/cc-skill-coding-standards,cc-skill-coding-standards,development,frontend,531,11888,screened_candidate,lines=531,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for cc-skill-coding-standards with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/track-management,track-management,development,software-architecture,42,1634,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/deploy-to-vercel,deploy-to-vercel,infrastructure-and-ops,cloud-platforms,304,12424,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/customer-support,customer-support,business-and-operations,strategy,172,8915,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/task-intelligence,task-intelligence,development,systems,309,12641,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/dwarf-expert,dwarf-expert,development,fullstack,100,5272,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ask-questions-if-underspecified,ask-questions-if-underspecified,development,fullstack,91,4337,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/planning-with-files,planning-with-files,development,fullstack,189,6058,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
